# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3800, i.e. number of multipoles equal to 3799
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               phiphi           Tphi             
 296 4.1150528063e-10 2.7640600992e-13 6.7268867537e-14
 297 4.0815527744e-10 2.7345968650e-13 6.6146582424e-14
 298 4.0479314928e-10 2.7055699129e-13 6.5024463339e-14
 299 4.0142000664e-10 2.6769730703e-13 6.3903966492e-14
 300 3.9803697617e-10 2.6487996740e-13 6.2786581885e-14
 301 3.9464520075e-10 2.6210425649e-13 6.1673833576e-14
 302 3.9124583954e-10 2.5936940826e-13 6.0567279932e-14
 303 3.8784006804e-10 2.5667460606e-13 5.9468513892e-14
 304 3.8442907820e-10 2.5401898207e-13 5.8379163225e-14
 305 3.8101407842e-10 2.5140161678e-13 5.7300890792e-14
 306 3.7759629368e-10 2.4882153848e-13 5.6235394800e-14
 307 3.7417696555e-10 2.4627772273e-13 5.5184409067e-14
 308 3.7075735231e-10 2.4376909185e-13 5.4149703277e-14
 309 3.6733872898e-10 2.4129451435e-13 5.3133083242e-14
 310 3.6392238737e-10 2.3885280446e-13 5.2136391160e-14
 311 3.6050963621e-10 2.3644272160e-13 5.1161505875e-14
 312 3.5710180116e-10 2.3406296982e-13 5.0210343135e-14
 313 3.5370022488e-10 2.3171219730e-13 4.9284855853e-14
 314 3.5030626713e-10 2.2938899583e-13 4.8387034366e-14
 315 3.4692130481e-10 2.2709190029e-13 4.7518906692e-14
 316 3.4354662023e-10 2.2481966515e-13 4.6682105261e-14
 317 3.4018306005e-10 2.2257210909e-13 4.5876544619e-14
 318 3.3683136087e-10 2.2034930807e-13 4.5101683640e-14
 319 3.3349225952e-10 2.1815132158e-13 4.4356953339e-14
 320 3.3016649300e-10 2.1597819247e-13 4.3641756610e-14
 321 3.2685479840e-10 2.1382994672e-13 4.2955467968e-14
 322 3.2355791286e-10 2.1170659327e-13 4.2297433286e-14
 323 3.2027657348e-10 2.0960812384e-13 4.1666969539e-14
 324 3.1701151727e-10 2.0753451272e-13 4.1063364541e-14
 325 3.1376348106e-10 2.0548571658e-13 4.0485876683e-14
 326 3.1053320144e-10 2.0346167428e-13 3.9933734679e-14
 327 3.0732141472e-10 2.0146230670e-13 3.9406137302e-14
 328 3.0412885681e-10 1.9948751650e-13 3.8902253123e-14
 329 3.0095626318e-10 1.9753718797e-13 3.8421220254e-14
 330 2.9780436883e-10 1.9561118683e-13 3.7962146084e-14
 331 2.9467390813e-10 1.9370936004e-13 3.7524107026e-14
 332 2.9156561485e-10 1.9183153559e-13 3.7106148248e-14
 333 2.8848022202e-10 1.8997752232e-13 3.6707283420e-14
 334 2.8541846192e-10 1.8814710972e-13 3.6326494449e-14
 335 2.8238106595e-10 1.8634006778e-13 3.5962731224e-14
 336 2.7936876461e-10 1.8455614674e-13 3.5614911351e-14
 337 2.7638228743e-10 1.8279507692e-13 3.5281919896e-14
 338 2.7342236287e-10 1.8105656855e-13 3.4962609124e-14
 339 2.7048971827e-10 1.7934031154e-13 3.4655798240e-14
 340 2.6758507981e-10 1.7764597534e-13 3.4360273127e-14
 341 2.6470917238e-10 1.7597320868e-13 3.4074786087e-14
 342 2.6186271956e-10 1.7432163943e-13 3.3798055583e-14
 343 2.5904644357e-10 1.7269087442e-13 3.3528765973e-14
 344 2.5626106512e-10 1.7108049917e-13 3.3265567258e-14
 345 2.5350730343e-10 1.6949007780e-13 3.3007074816e-14
 346 2.5078587613e-10 1.6791915276e-13 3.2751869143e-14
 347 2.4809749915e-10 1.6636724468e-13 3.2498495596e-14
 348 2.4544288673e-10 1.6483385215e-13 3.2245464129e-14
 349 2.4282275130e-10 1.6331845156e-13 3.1991249036e-14
 350 2.4023780341e-10 1.6182049689e-13 3.1734288688e-14
 351 2.3768875171e-10 1.6033941952e-13 3.1472985276e-14
 352 2.3517630281e-10 1.5887462802e-13 3.1205704549e-14
 353 2.3270116128e-10 1.5742550801e-13 3.0930775556e-14
 354 2.3026402953e-10 1.5599142191e-13 3.0646490382e-14
 355 2.2786560780e-10 1.5457170878e-13 3.0351103893e-14
 356 2.2550653109e-10 1.5316580737e-13 3.0043209441e-14
 357 2.2318717754e-10 1.5177363120e-13 2.9722883409e-14
 358 2.2090785214e-10 1.5039520839e-13 2.9390586776e-14
 359 2.1866884884e-10 1.4903055970e-13 2.9046793447e-14
 360 2.1647045043e-10 1.4767969844e-13 2.8691990352e-14
 361 2.1431292837e-10 1.4634263045e-13 2.8326677538e-14
 362 2.1219654272e-10 1.4501935398e-13 2.7951368263e-14
 363 2.1012154198e-10 1.4370985963e-13 2.7566589094e-14
 364 2.0808816297e-10 1.4241413025e-13 2.7172880001e-14
 365 2.0609663070e-10 1.4113214091e-13 2.6770794449e-14
 366 2.0414715825e-10 1.3986385879e-13 2.6360899499e-14
 367 2.0223994663e-10 1.3860924311e-13 2.5943775897e-14
 368 2.0037518466e-10 1.3736824508e-13 2.5520018171e-14
 369 1.9855304887e-10 1.3614080777e-13 2.5090234728e-14
 370 1.9677370330e-10 1.3492686611e-13 2.4655047945e-14
 371 1.9503729945e-10 1.3372634674e-13 2.4215094269e-14
 372 1.9334397612e-10 1.3253916799e-13 2.3771024306e-14
 373 1.9169385926e-10 1.3136523976e-13 2.3323502921e-14
 374 1.9008706191e-10 1.3020446349e-13 2.2873209331e-14
 375 1.8852368398e-10 1.2905673206e-13 2.2420837199e-14
 376 1.8700381221e-10 1.2792192971e-13 2.1967094732e-14
 377 1.8552751998e-10 1.2679993196e-13 2.1512704770e-14
 378 1.8409486723e-10 1.2569060558e-13 2.1058404888e-14
 379 1.8270590029e-10 1.2459380845e-13 2.0604947488e-14
 380 1.8136065178e-10 1.2350938953e-13 2.0153099891e-14
 381 1.8005914048e-10 1.2243718876e-13 1.9703644437e-14
 382 1.7880137120e-10 1.2137703702e-13 1.9257378576e-14
 383 1.7758733464e-10 1.2032875600e-13 1.8815114968e-14
 384 1.7641700729e-10 1.1929215818e-13 1.8377681569e-14
 385 1.7529035126e-10 1.1826704671e-13 1.7945921736e-14
 386 1.7420731422e-10 1.1725321536e-13 1.7520694315e-14
 387 1.7316782918e-10 1.1625044844e-13 1.7102873740e-14
 388 1.7217181446e-10 1.1525852074e-13 1.6693350125e-14
 389 1.7121917350e-10 1.1427719740e-13 1.6293029361e-14
 390 1.7030979475e-10 1.1330623392e-13 1.5902833210e-14
 391 1.6944355154e-10 1.1234537599e-13 1.5523699401e-14
 392 1.6862030196e-10 1.1139435950e-13 1.5156581721e-14
 393 1.6783988873e-10 1.1045291041e-13 1.4802450118e-14
 394 1.6710213906e-10 1.0952074469e-13 1.4462290786e-14
 395 1.6640686455e-10 1.0859756825e-13 1.4137106269e-14
 396 1.6575386648e-10 1.0768312944e-13 1.3827686044e-14
 397 1.6514295223e-10 1.0677737873e-13 1.3533908829e-14
 398 1.6457391924e-10 1.0588031476e-13 1.3255414888e-14
 399 1.6404654946e-10 1.0499193220e-13 1.2991833146e-14
 400 1.6356060925e-10 1.0411222177e-13 1.2742781110e-14
 401 1.6311584928e-10 1.0324117018e-13 1.2507864788e-14
 402 1.6271200434e-10 1.0237876009e-13 1.2286678610e-14
 403 1.6234879329e-10 1.0152497007e-13 1.2078805344e-14
 404 1.6202591888e-10 1.0067977460e-13 1.1883816020e-14
 405 1.6174306767e-10 9.9843144006e-14 1.1701269851e-14
 406 1.6149990989e-10 9.9015044419e-14 1.1530714144e-14
 407 1.6129609928e-10 9.8195437759e-14 1.1371684232e-14
 408 1.6113127306e-10 9.7384281691e-14 1.1223703384e-14
 409 1.6100505169e-10 9.6581529591e-14 1.1086282729e-14
 410 1.6091703885e-10 9.5787130510e-14 1.0958921176e-14
 411 1.6086682125e-10 9.5001029139e-14 1.0841105331e-14
 412 1.6085396853e-10 9.4223165775e-14 1.0732309420e-14
